CameraMaker,CameraModel,SensorWidth(mm),SensorHeight(mm),SensorWidth(pixels),SensorHeight(pixels)
Acer,CE-5330,5.75,4.32,2579,1939
Acer,CE-5430,5.75,4.32,2579,1939
Acer,CE-6430,5.75,4.32,2909,2187
Acer,CI-6330,7.11,5.33,2862,2152
Acer,CI-6530,7.11,5.33,2871,2159
Acer,CI-8330,7.11,5.33,3310,2489
Acer,CL-5300,5.75,4.32,2579,1939
Acer,CP-8531,7.11,5.33,3272,2460
Acer,CP-8660,7.11,5.33,3302,2483
Acer,CR-5130,7.11,5.33,2579,1939
Acer,CR-6530,7.11,5.33,2894,2176
Acer,CR-8530,7.11,5.33,3272,2460
Acer,CS-5530,5.75,4.32,2579,1939
Acer,CS-5531,5.75,4.32,2579,1939
Acer,CS-6530,5.75,4.32,2862,2152
Acer,CS-6531,5.75,4.32,2862,2152
Acer,CU-6530,5.75,4.32,2862,2152
AgfaPhoto,Compact 100,5.75,4.32,3647,2742
AgfaPhoto,Compact 102,6.16,4.62,3995,3004
AgfaPhoto,Compact 103,6.08,4.56,3995,3004
AgfaPhoto,DC-1030i,7.11,5.33,3647,2742
AgfaPhoto,DC-1033m,5.75,4.32,3647,2742
AgfaPhoto,DC-1033x,7.11,5.33,3647,2742
AgfaPhoto,DC-1338i,7.11,5.33,3647,2742
AgfaPhoto,DC-1338sT,7.11,5.33,3647,2742
AgfaPhoto,DC-2030m,6.16,4.62,3995,3004
AgfaPhoto,DC-302,4.8,3.6,1998,1502
AgfaPhoto,DC-500,4.8,3.6,2579,1939
AgfaPhoto,DC-530i,5.75,4.32,2579,1939
AgfaPhoto,DC-533,5.75,4.32,2579,1939
AgfaPhoto,DC-600uw,6.16,4.62,2825,2124
AgfaPhoto,DC-630,5.75,4.32,2825,2124
AgfaPhoto,DC-630i,5.75,4.32,2825,2124
AgfaPhoto,DC-630x,5.75,4.32,2825,2124
AgfaPhoto,DC-633x,5.75,4.32,2825,2124
AgfaPhoto,DC-633xs,5.75,4.32,2825,2124
AgfaPhoto,DC-730i,5.75,4.32,3051,2294
AgfaPhoto,DC-733i,5.75,4.32,3051,2294
AgfaPhoto,DC-733s,5.75,4.32,3051,2294
AgfaPhoto,DC-735,5.75,4.32,3051,2294
AgfaPhoto,DC-735i,5.75,4.32,3051,2294
AgfaPhoto,DC-738i,5.75,4.32,3051,2294
AgfaPhoto,DC-830,5.75,4.32,3262,2453
AgfaPhoto,DC-830i,7.11,5.33,3262,2453
AgfaPhoto,DC-8330i,5.75,4.32,3262,2453
AgfaPhoto,DC-8338i,5.75,4.32,3262,2453
AgfaPhoto,DC-833m,5.75,4.32,3262,2453
AgfaPhoto,DC-8428s,7.11,5.33,3262,2453
AgfaPhoto,ePhoto 1280,6.16,4.62,964,725
AgfaPhoto,ePhoto 1680,6.16,4.62,1264,950
AgfaPhoto,ePhoto CL18,6.16,4.62,632,475
AgfaPhoto,ePhoto CL30,6.16,4.62,1095,823
AgfaPhoto,ePhoto CL30 Clik!,6.16,4.62,1095,823
AgfaPhoto,ePhoto CL45,6.16,4.62,1589,1195
AgfaPhoto,ePhoto CL50,6.16,4.62,1264,950
AgfaPhoto,Optima 1,6.08,4.56,3995,3004
AgfaPhoto,Optima 100,6.08,4.56,3647,2742
AgfaPhoto,Optima 102,6.08,4.56,3995,3004
AgfaPhoto,Optima 103,6.16,4.62,3995,3004
AgfaPhoto,Optima 104,6.08,4.56,3995,3004
AgfaPhoto,Optima 105,6.16,4.62,4315,3244
AgfaPhoto,Optima 1338mT,6.16,4.62,3647,2742
AgfaPhoto,Optima 1438m,6.08,4.56,3647,2742
AgfaPhoto,Optima 3,6.16,4.62,4315,3244
AgfaPhoto,Optima 830UW,5.75,4.32,3262,2453
AgfaPhoto,Optima 8328m,5.75,4.32,3262,2453
AgfaPhoto,sensor 505-D,5.75,4.32,2579,1939
AgfaPhoto,sensor 505-X,5.75,4.32,2579,1939
AgfaPhoto,sensor 530s,5.75,4.32,2579,1939
AgfaPhoto,sensor 830s,5.75,4.32,3262,2453
Apple,iPhone 4,4.54,3.42,2592,1936
Apple,iPhone 4S,4.54,3.42,3264,2448
Apple,iPhone 5,4.54,3.42,3264,2448
Apple,iPhone 5S,4.89,3.67,3264,2448
Apple,iPhone 6,4.89,3.67,3264,2448
Apple,iPhone 6 Plus,4.89,3.67,3264,2448
BenQ,AC100,6.16,4.62,4315,3244
BenQ,AE100,6.16,4.62,4315,3244
BenQ,C1420,6.08,4.56,4315,3244
BenQ,DC 2300,4.5,3.37,1604,1197
BenQ,DC 2410,5.33,4,2044,1537
BenQ,DC 3400,4.5,3.37,1637,1222
BenQ,DC 3410,4.5,3.37,1678,1252
BenQ,DC 4330,5.75,4.32,2095,1575
BenQ,DC 4500,5.75,4.32,2306,1734
BenQ,DC 5330,5.75,4.32,2044,1537
BenQ,DC C1000,7.11,5.33,3647,2742
BenQ,DC C1020,6.16,4.62,3647,2742
BenQ,DC C1030 Eco,6.16,4.62,3647,2742
BenQ,DC C1035,6.16,4.62,3647,2742
BenQ,DC C1050,7.53,5.64,3661,2732
BenQ,DC C1060,6.16,4.62,3647,2742
BenQ,DC C1220,6.16,4.62,3995,3004
BenQ,DC C1230,6.16,4.62,3995,3004
BenQ,DC C1250,6.16,4.62,3995,3004
BenQ,DC C1255,6.16,4.62,3995,3004
BenQ,DC C1430,6.16,4.62,4315,3244
BenQ,DC C1450,6.16,4.62,4315,3244
BenQ,DC C1460,6.08,4.56,4315,3244
BenQ,DC C1480,6.16,4.62,4315,3244
BenQ,DC C30,5.75,4.32,2108,1585
BenQ,DC C35,5.75,4.32,2067,1554
BenQ,DC C40,5.75,4.32,2374,1785
BenQ,DC C420,5.75,4.32,2306,1734
BenQ,DC C50,7.11,5.33,2579,1939
BenQ,DC C500,5.75,4.32,2579,1939
BenQ,DC C51,5.75,4.32,2579,1939
BenQ,DC C510,5.75,4.32,2579,1939
BenQ,DC C520,5.75,4.32,2579,1939
BenQ,DC C530,5.75,4.32,2579,1939
BenQ,DC C540,5.75,4.32,2579,1939
BenQ,DC C60,7.11,5.33,2909,2187
BenQ,DC C610,5.75,4.32,2825,2124
BenQ,DC C62,7.11,5.33,2910,2188
BenQ,DC C630,5.75,4.32,2825,2124
BenQ,DC C640,7.53,5.64,2835,2116
BenQ,DC C740,5.75,4.32,3051,2294
BenQ,DC C740i,5.75,4.32,3051,2294
BenQ,DC C750,5.75,4.32,3051,2294
BenQ,DC C800,7.11,5.33,3262,2453
BenQ,DC C840,5.75,4.32,3262,2453
BenQ,DC C850,5.75,4.32,3262,2453
BenQ,DC E1000,7.11,5.33,3647,2742
BenQ,DC E1020,6.16,4.62,3647,2742
BenQ,DC E1030,6.16,4.62,3647,2742
BenQ,DC E1035,6.16,4.62,3647,2742
BenQ,DC E1050,7.53,5.64,3661,2732
BenQ,DC E1050t,6.16,4.62,3647,2742
BenQ,DC E1220,6.16,4.62,3995,3004
BenQ,DC E1230,6.16,4.62,3995,3004
BenQ,DC E1240,6.16,4.62,3995,3004
BenQ,DC E1250,6.16,4.62,3995,3004
BenQ,DC E1260,6.16,4.62,3995,3004
BenQ,DC E1280,6.16,4.62,3995,3004
BenQ,DC E1420,6.16,4.62,4315,3244
BenQ,DC E1430,6.16,4.62,4315,3244
BenQ,DC E1460,6.16,4.62,4315,3244
BenQ,DC E1465,6.16,4.62,4315,3244
BenQ,DC E30,6.4,4.8,2044,1537
BenQ,DC E300,6.4,4.8,2044,1537
BenQ,DC E310,6.4,4.8,2063,1551
BenQ,DC E40,5.75,4.32,2371,1783
BenQ,DC E41,5.75,4.32,2371,1783
BenQ,DC E43,5.75,4.32,2363,1777
BenQ,DC E510,5.75,4.32,2579,1939
BenQ,DC E520,5.75,4.32,2579,1939
BenQ,DC E520 plus,5.75,4.32,2558,1923
BenQ,DC E53,5.75,4.32,2629,1977
BenQ,DC E600,5.75,4.32,2825,2124
BenQ,DC E605,5.75,4.32,2825,2124
BenQ,DC E610,5.75,4.32,2849,2142
BenQ,DC E63 Plus,5.75,4.32,2825,2124
BenQ,DC E720,5.75,4.32,3051,2294
BenQ,DC E800,5.75,4.32,3282,2468
BenQ,DC E820,5.75,4.32,3262,2453
